"Employeurs ayant obtenu une Étude d'impact sur le marché du travail (EIMT) positive en 2016, par classification nationale des professions (CNP) 2011 et lieu d’affaires",,,, 
Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,"Postes Approuvés
" 
,Toronto Mizpah Presbyterian Church,"Toronto, ON M6B 2K6",4217-Autre personnel relié à la religion,1
,Toronto Racquet Club,"Toronto, ON M4X 1L9",5252-Entraîneurs,1
,Toronto Raptors Network Ltd.,"Toronto, ON M5A 1C1",5231-Annonceurs et autres communicateurs de la radio et de la télévision,1
,Toronto Sky Aviation Inc.,"Concord, ON L4K 2G3",7333-Électromécaniciens,1
,Toronto Smart Cars Ltd.,"Thornhill, ON L4J 1V8","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,Toronto Symphony Orchestra,"Toronto, ON M5H 1K5","1123-Professionnels en publicité, en marketing et en relations publiques",1
,Torpedo Pictures Inc.,"Toronto, ON M6R 2B7",5241-Designers graphiques et illustrateurs,1
,Total Air Solutions Inc.,"Ottawa, ON K1Z 7X5",2234-Estimateurs en construction,1
,Total Meter Services Inc.,"Etobicoke, ON M9W 5X2",2253-Technologues et techniciens en dessin,1
,Toth Farms Ltd,"Holland Landing, ON L9N 1J6",8431-Ouvriers agricoles,1
,Townsend Fruit Farms,"Simcoe, ON N3Y 4K3",8431-Ouvriers agricoles,50
,Trade Technocrats Ltd.,"Scarborough, ON M1V 5C9",6222-Acheteurs des commerces de détail et de gros,1
,Tradows Inc.,"Toronto, ON M1H 2V6","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,,6222-Acheteurs des commerces de détail et de gros,1
,Trans Border Xpress Inc.,"Maple, ON L6A 4L2",731-Directeurs des transports,1
,Transduction Inc.,"Mississauga, ON L4W 5A1",1225-Agents aux achats,1
,Transhing Investments (Toronto) Inc.,"Scarborough, ON M1B 2Y8",6222-Acheteurs des commerces de détail et de gros,1
,Tree Doctors Inc.,"Etobicoke, ON M8Z 5C8",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,2
,Treefrog Inc.,"Newmarket, ON L3Y 2P5",2174-Programmeurs et développeurs en médias interactifs,1
,Tregunno Fruit Farms Inc,"Niagara on the lake, ON L0S 1J0",8431-Ouvriers agricoles,125
,Trench Limited,"Scarborough, ON M1V 4B6",2133-Ingénieurs électriciens et électroniciens,1
,Trendline Furniture Limited,"North York, ON M3N 1Y4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Trent University,"Peterborough, ON K9J 7B8",4011-Professeurs et chargés de cours au niveau universitaire,1
,Trevor Kozack Inc,"St Willilams, ON N0E 1P0",8431-Ouvriers agricoles,7
,TRI MN Ltd,"Delhi, ON N4B 2W5",8431-Ouvriers agricoles,9
,Tricon Television80 Inc.,"Toronto, ON M5V 1N6","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",6
,,,5135-Acteurs et comédiens,2
,Trillium Architectural Product Ltd.,"North York, ON M3C 2H4",6221-Spécialistes des ventes techniques - commerce de gros,1
,Trinity Custom Masonry Limited,"Scarborough, ON M1L 1M9",7281-Briqueteurs-maçons,1
,Trio Roofing Systems Inc.,"Brampton, ON L6T 4J2",7291-Couvreurs et poseurs de bardeaux,1
,Triple A Feedlot Inc.,"Wyoming, ON N0N 1T0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Triple J Design & Build Inc.,"Richmond Hill, ON L4E 2Y1",7271-Charpentiers-menuisiers,1
,Triple MC Farms Ltd,"Simcoe, ON N3Y 4J9",8431-Ouvriers agricoles,8
,Triumph Aluminum & Sheet metal Inc.,"Toronto, ON M6L 2H8",711-Directeurs de la construction,2
,,,7271-Charpentiers-menuisiers,2
,,,7281-Briqueteurs-maçons,2
,Triumph Roofing & Sheet Metal Inc.,"Toronto, ON M6L 2H8",7291-Couvreurs et poseurs de bardeaux,2
,TrueNorth Avionics Inc.,"Ottawa, ON K2C 3R8","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,Trust Plus Overseas Affairs Consulting Inc.,"Toronto, ON M1T 3V3",1241-Adjoints administratifs,1
,Trux Solutions Inc,"Mississauga, ON L4Z 1X8",1221-Agents d'administration,1
,TRW Canada Limited,"Midland, ON L4R 4L5",1122-Professionnels des services-conseils en gestion aux entreprises,1
,TSMC Design Technology Canada Inc.,"Kanata, ON K2K 3B8",2133-Ingénieurs électriciens et électroniciens,1
,TT Precision Ltd,"Mississauga, ON L4W 1V6","5243-Ensembliers de théâtre, dessinateurs de mode, concepteurs d'expositions et autres concepteurs artistiques",1
,Tugs Trading Co. Ltd.,"Scarborough, ON M1S 3R6",6222-Acheteurs des commerces de détail et de gros,1
,Tupling Farms Ltd,"Melancthon, ON L9V 1X1",8431-Ouvriers agricoles,12
,Turbo Disposal and Excavation Ltd.,"Mississauga, ON L4X 2B6",7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd,1
,Turner & Townsend CM2R Inc.,"Toronto, ON M4V 1L5",2234-Estimateurs en construction,1
,Turtle Island Produce Limited,"Walsingham, ON N0E 1X0",8431-Ouvriers agricoles,41
,Turuss (Canada) Industry Co. Ltd,"Chesley, ON N0G 1L0",9224-Surveillants dans la fabrication de meubles et d'accessoires,1
,TUV SUD Canada Inc.,"Newmarket,, ON L3Y 8T8",2261-Vérificateurs et essayeurs des essais non destructifs,1
,TVF Farms Inc,"Chatham, ON N7L 0G1",8431-Ouvriers agricoles,28
,TWI Foods Inc,"Toronto, ON M9W 4M2","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,,2232-Technologues et techniciens en génie mécanique,1
,,,6332-Boulangers-pâtissiers,1
,,,"9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",2
,Twin Cedar Farms Inc,"Vienna, ON N0J 1Z0",8431-Ouvriers agricoles,4
,Twin M Meadows,"Clarksburg, ON N0H 1J0",8431-Ouvriers agricoles,14
,Twin Peaks Hydroponics,"Leamington, ON N8H 3W2",8432-Ouvriers de pépinières et de serres,123
,Twins Painting & Decorating Co Ltd,"Toronto, ON M6E 1G4",7271-Charpentiers-menuisiers,1
,Two Management,"Toronto, ON M5V 2V1",5221-Photographes,1
,,,"5232-Autres artistes de spectacle, n.c.a.",5
,U of O Institute of mental health research,"Ottawa, ON K1Z 7K4",3111-Médecins spécialistes,1
,Ubisoft Toronto Inc.,"Toronto, ON M6H 1V7","124-Directeurs de la publicité, du marketing et des relations publiques",1
,,,2174-Programmeurs et développeurs en médias interactifs,18
,,,"5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,,5135-Acteurs et comédiens,5
,,,5241-Designers graphiques et illustrateurs,19
,Udupi Palace Vegetarian Ltd.,"Toronto, ON M4L 2A3",6322-Cuisiniers,2
,UFCW Canada,"Toronto, ON M9W 6K4",4212-Travailleurs des services sociaux et communautaires,1
,Uncle Tetsu Canada Ltd.,"Toronto, ON M5G 1M6",6321-Chefs,1
,Unigloabe Intercontinental Travel Inc.,"Stouffville, ON L4A 7X3",4212-Travailleurs des services sociaux et communautaires,1
,Unique Machining Concepts Inc,"Brampton, ON L6S 5P6",2253-Technologues et techniciens en dessin,1
,Unique Store Fixtures Ltd.,"Concord, ON L4K 3V5",7271-Charpentiers-menuisiers,1
,Unisystech Consulting Inc.,"Toronto, ON M3B 1A5",2171-Analystes et consultants en informatique,1
,Unitech Ltd.,"Thornhill, ON L4J 8Y7",2174-Programmeurs et développeurs en médias interactifs,1
,United Bakery Manufacturers Inc.,"Concord, ON L4K 3L8",7311-Mécaniciens de chantier et mécaniciens industriels,1
,United City Cartage Ltd.,"Brampton, ON L6T 3W6","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Universal Cleaning and Painting Ltd.,"Toronto, ON M2N 4V4",714-Directeurs de l'exploitation et de l'entretien d'immeubles,1
,Universal Construction Inc.,"Woodbridge, ON L4H 1N6",7271-Charpentiers-menuisiers,1
,Universal Promotions and Publishers Inc.,"Toronto, ON M6A 2S7",5241-Designers graphiques et illustrateurs,1
,Universal Structural Restorations Ltd.,"Concord, ON L4K 1J5",7283-Carreleurs,1
,University Health Network,"Toronto, ON M5G 2C4",311-Directeurs des soins de santé,1
,,,3111-Médecins spécialistes,5
,,,3112-Omnipraticiens et médecins en médecine familiale,1
,University of Guelph,"Guelph, ON N1G 2W1",4011-Professeurs et chargés de cours au niveau universitaire,9
,University of Ontario Institute of Technology,"Oshawa, ON L1H 7K4",4011-Professeurs et chargés de cours au niveau universitaire,2
,University of Ottawa,"Ottawa, ON K1N 6N5",4011-Professeurs et chargés de cours au niveau universitaire,6
,University Of Ottawa Heart Institute,"Ottawa, ON K1Y 4W7",3111-Médecins spécialistes,1
,University of Ottawa Medical Associates,"Ottawa, ON K1H 8L6",3111-Médecins spécialistes,2
,,,3112-Omnipraticiens et médecins en médecine familiale,1
,University of Toronto,"Toronto, ON M5S 1A1",4011-Professeurs et chargés de cours au niveau universitaire,5
,,"Toronto, ON M5S 1S8",4011-Professeurs et chargés de cours au niveau universitaire,49
,University of Waterloo,"Waterloo, ON N2L 3G1",4011-Professeurs et chargés de cours au niveau universitaire,21
,University Of Windsor,"Windsor, ON N9B 3P4",4011-Professeurs et chargés de cours au niveau universitaire,4
,UNO Concepts Ltd.,"North York, ON M2J 4M1",6211-Superviseurs des ventes - commerce de détail,1
,,,6421-Vendeurs - commerce de détail,4
,Untitled Films Ltd.,"Toronto, ON M5T 2S6","5226-Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène",1
,UPGC Inc.,"Vaughan, ON L4L 9T1","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,Upper Canada Homes,"Kieninburg, ON L0J 1C0",7271-Charpentiers-menuisiers,1
,Urban Mechanical Contracting Ltd.,"Toronto, ON M9W 5B2",7371-Grutiers,1
,Urban Nails Inc.,"Toronto, ON M4K 1C3","651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,Urban Turban Inc.,"Kanata, ON K2K 3G1",6322-Cuisiniers,2
,Utility Advocates Inc.,"Toronto, ON M2N 7E9",1122-Professionnels des services-conseils en gestion aux entreprises,1
,Uxbridge Nurseries Limited,"Brooklin, ON L1M 1Y6",8432-Ouvriers de pépinières et de serres,15
,V & JM Architects Inc,"Etobicoke, ON M8Z 3S5",7271-Charpentiers-menuisiers,1
,V. Food Group Inc.,"Cambridge, ON N3C 0A5","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,VA Bricklayers Ltd.,"Toronto, ON M6E 5A6",7281-Briqueteurs-maçons,1
,VAL/MAR Construction Inc.,"Scarborough, ON M1K 2X4",7281-Briqueteurs-maçons,2
,Valcon-Renoserv Inc.,"Scarborough, ON M1W 1H9",7283-Carreleurs,1
,Valley Growers Inc,"Blezard Valley, ON P0M 1E0",8431-Ouvriers agricoles,11
,Valleyview Gardens,"Toronto, ON M1V 2Y4",8432-Ouvriers de pépinières et de serres,12
,Valleyview Orchards,"Colborne, ON K0K 1S0",8431-Ouvriers agricoles,3
,Value Trucks Inc.,"Mississauga, ON L5T 2A7",621-Directeurs - commerce de détail et de gros,1
,Vamos Investments Ltd,"Brantford, ON N3T 5L7",8431-Ouvriers agricoles,12
,Van Brenk's Fruit Farm & Nursery Ltd,"Fingal, ON N0L 1K0",8431-Ouvriers agricoles,7
,,,8432-Ouvriers de pépinières et de serres,4
,Van de Laar Vineyards Inc,"Niagara on the lake, ON L0S 1J0",8431-Ouvriers agricoles,6
,Van Overloop Farms Ltd,"Chatham, ON N7M 5J4",8431-Ouvriers agricoles,1
,Van Vliet Greenhouses Inc,"Fenwick, ON L0S 1C0",8432-Ouvriers de pépinières et de serres,5
,Vanar Farms Ltd,"Brantford, ON N3T 5L5",8431-Ouvriers agricoles,20
,VanDenBroek Farms Inc,"Campbellville, ON L0P 1B0",8431-Ouvriers agricoles,6
,Vander Hoeven Greenhouses Ltd.,"St. Catharines, ON L2R 7K6",8432-Ouvriers de pépinières et de serres,4
,Vanderstelt Farms Ltd,"Brantford, ON N3T 5M1",8431-Ouvriers agricoles,24
,VanDongens Landscaping & Nurseries Ltd,"Hornby, ON L0P 1E0",8432-Ouvriers de pépinières et de serres,6
,Vanessa Hill Farms Inc,"Vanessa, ON N0E 1V0",8431-Ouvriers agricoles,16
,Vangelo Corp,"Toronto, ON M9W 6N5",6222-Acheteurs des commerces de détail et de gros,1
,VanHaecke Farms Inc,"Tupperville, ON N0P 2M0",8431-Ouvriers agricoles,4
,VanWychen Farms,"Aylmer, ON N5H 2R1",8431-Ouvriers agricoles,6
,VanYmeren Orchards Inc,"Aylmer, ON N5H 2R4",8431-Ouvriers agricoles,56
,VanZanten Greenhouses,"Fenwick, ON L0S 1C0",8431-Ouvriers agricoles,1
,,,8432-Ouvriers de pépinières et de serres,3
,Vard Marine Inc. o/a STX Canada Marine Inc.,"Ottawa, ON K1P 6A4","2148-Autres ingénieurs, n.c.a.",1
,VDart (Canada) Inc.,"Richmond Hill, ON L4B 3N2",112-Directeurs des ressources humaines,1
,VDI / LOL Business International Ltd.,"Ottawa, ON K1P 1A4",213-Gestionnaires des systèmes informatiques,1
,Vector aerospace Corporation,"Toronto, ON M4W 1A8","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,Veggie Flames Inc.,"Mississauga, ON L4T 2H3",6322-Cuisiniers,1
,Vehof Farms Inc,"Bright, ON N0J 1B0",821-Gestionnaires en agriculture,1
,Venezia Bakery Ltd,"Toronto, ON M6J 2Z4",6321-Chefs,1
,Venus Autoparts Inc.,"toronto, ON M9W 4V6",1241-Adjoints administratifs,1
,Venus Concept Canada Corp.,"Toronto, ON M2J 1R4","14-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
,,,6221-Spécialistes des ventes techniques - commerce de gros,1
,Verbeek Farms,"Chatham, ON N7M 5J4",8431-Ouvriers agricoles,2
,Verbrugge AG Group Inc,"Simcoe, ON N3Y 4K6",8431-Ouvriers agricoles,6
,Vercouteren Farms Ltd,"Blenheim, ON N0P 1A0",8431-Ouvriers agricoles,2
,Verdi Inc.,"Bolton, ON L7E 4E3",7271-Charpentiers-menuisiers,13
,Vergeer Enterprises Ltd,"Chatham, ON N7M 5J2",8431-Ouvriers agricoles,8
,Veri Hydroponics Inc,"Exeter, ON N0M 1S3",8432-Ouvriers de pépinières et de serres,58
,Verkuyl Farms Limited,"Woodstock, ON N4S 7W1",8431-Ouvriers agricoles,7
,Vesta Partners Canada Inc.,"Burlington, ON L7T 2N6",2171-Analystes et consultants en informatique,1
,Via dei Mercanti Inc,"Toronto, ON M5T 2L6",6321-Chefs,2
,,,6332-Boulangers-pâtissiers,2
,Via Verde Hydroponics,"Kingsville, ON N9Y 2M2",8432-Ouvriers de pépinières et de serres,127
,Via-con Masonry Inc.,"Toronto, ON M9L 2S6",7281-Briqueteurs-maçons,3
,Viana Roofing & Sheet Metal Ltd.,"Toronto, ON M8Z 2T7",7271-Charpentiers-menuisiers,2
,,,7291-Couvreurs et poseurs de bardeaux,8
,Vicar Master Builders Inc.,"Toronto, ON M9B 0A9",7271-Charpentiers-menuisiers,1
,Victoria Education Centre Inc.,"Richmond Hill, ON L4B 3Y3",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,Victoria Park Child Centre,"Toronto, ON M3A 2V1",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,Victoria Udoeyop Medicine Prof Corp.,"Oshawa, ON L1K 0V4",3112-Omnipraticiens et médecins en médecine familiale,2
,Vieni Estates Inc.,"Toronto, ON M9L 1P1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Vienna Farms Ltd,"Waterloo, ON N2J 4G8",8431-Ouvriers agricoles,75
,Vikkit Solutions Ltd.,"Markham, ON L3R 4N4",2283-Évaluateurs de systèmes informatiques,2
,Vilaca Farms Inc,"Brantford, ON N3T 5L5",8431-Ouvriers agricoles,2
,Villa Italian Bakery (1980) Ltd.,"Goodwood, ON L0C 1A0",6321-Chefs,1
,Vine Fresh Acres Ltd,"Leamington, ON N8H 3V8",8432-Ouvriers de pépinières et de serres,58
,Vinetech Canada Inc,"Niagara on the lake, ON L0S 1J0",8431-Ouvriers agricoles,21
,Vio Farms Ltd,"Burford, ON N0E 1A0",8431-Ouvriers agricoles,12
,Vio Systems Inc.,"Richmond Hill, ON L4B 3M1",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
,Viper Home Services Inc.,"Toronto, ON M6E 1Y3",7271-Charpentiers-menuisiers,1
,Vipond Fire Protection Inc.,"London, ON N6N 1B1",2253-Technologues et techniciens en dessin,1
,Virgil Greenhouses Ltd,"Niagara on the lake, ON L0S 1J0",8432-Ouvriers de pépinières et de serres,3
,VISIONS PERSONNEL SERVICES INC,"Mississauga, ON L4Z 2E5",1212-Superviseurs de commis de finance et d'assurance,1
,VISO Inc.,"Toronto, ON M4M 2T4",9223-Surveillants dans la fabrication d'appareils électriques,1
,Visscher Farms Ltd,"Hay, ON N0M 1W0",8431-Ouvriers agricoles,30
,Vistaprint North America Services,"Windsor, ON N8N 5G8",911-Directeurs de la fabrication,1
,Vistas Restaurants Inc,"Toronto, ON M5C 1C4",631-Directeurs de la restauration et des services alimentaires,2
,Vitali Design/ Build Inc,"Oakville, ON L6H 1R2",7271-Charpentiers-menuisiers,1
,Vittoria Farms Ltd,"Vittoria, ON N0E 1W0",8431-Ouvriers agricoles,6
,ViXS Systems Inc./ViXS USA Inc.,"Toronto, ON M2K 1E3","13-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,Viziya Corp,"Dundas, ON L9H 7K6",2174-Programmeurs et développeurs en médias interactifs,1
,VMTurbo R&D (Canada) Inc.,"Markham, ON L3R 6H3",2173-Ingénieurs et concepteurs en logiciel,1
,Voogt Greenhouses Ltd,"Niagara on the lake, ON L0S 1J0",8432-Ouvriers de pépinières et de serres,4
,VR Mechanical Solutions Inc.,"Ajax, ON L1T 3A3","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,W & M Wire & Metal Products Co Ltd,"Mississauga, ON L4T 1G2",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,W & T Mushroom Ltd.,"Rockwood, ON N0B 2K0",8611-Manoeuvres à la récolte,7
,W Charlot Grains Ltd,"Stratford, ON N5A 6S4",8431-Ouvriers agricoles,5
,W Martens Greenhouses,"Beamsville, ON L0R 1B1",8432-Ouvriers de pépinières et de serres,20
,W. Vornberger Medicine Professional Corp.,"Sarnia, ON N7T 4X3",3112-Omnipraticiens et médecins en médecine familiale,1
,Wall Farms Ltd,"St Catharines, ON L2R 6P9",8431-Ouvriers agricoles,14
,Walmart Canada Corp.,"Mississauga, ON L5N 1P9",111-Directeurs financiers,1
,Wang's Kitchen Canada Inc.,"Mississauga, ON L4Z 3L9",6321-Chefs,2
,"Wanstead Farmers Co-Operative Co., Limited","Wyoming, ON N0N 1T0","2123-Agronomes, conseillers et spécialistes en agriculture",1
,Waqar Cheema Medicine Professional Corporation,"Brampton, ON L6Y 0N2",3112-Omnipraticiens et médecins en médecine familiale,1
,Ward & Burke Microtunnelling Ltd.,"Mississauga, ON L5N 6S2",711-Directeurs de la construction,10
,Warm Cases Ltd.,"Toronto, ON M4M 2T5","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,Warraich Meat Shop Inc.,"Brampton, ON L6R 1T4",6322-Cuisiniers,2
,Warren Greenhouses (1983) Ltd,"Kitchener, ON N2G 1R4",8432-Ouvriers de pépinières et de serres,2
,,,8611-Manoeuvres à la récolte,12
,Warren Industries Ltd.,"Concord, ON L4K 3M1",1112-Analystes financiers et analystes en placements,1
,Warren Ridge Inc,"Niagara on the lake, ON L0S 1J0",8431-Ouvriers agricoles,10
,Warwick Orchards & Nursery Ltd,"Watford, ON N0M 2S0",8431-Ouvriers agricoles,11
,Waterloo Co-operative Residence Inc.,"Waterloo, ON N2L 6G9","14-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
,Waupoos Estates Winery,"Picton, ON K0K 2T0",8431-Ouvriers agricoles,8
,Way-Kim Farms Ltd,"Norwich, ON N0J 1P0",8431-Ouvriers agricoles,2
,WD Potato Ltd,"Beeton, ON L0G 1A0",8431-Ouvriers agricoles,8
,Weeneebayko Area Health Authority,"Moose Factory, ON P0L 1W0",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,2
,Weil's Food Processing Ltd,"Wheatley, ON N0P 2P0",8431-Ouvriers agricoles,38
,Weins Canada Inc. (formerly Don Valley North Automotive Inc.),"Markham, ON L3R 1G9","13-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,Welded Tube of Canada Corp.,"Concord, ON L4K 2E9",2241-Technologues et techniciens en génie électronique et électrique,1
,Welland Apiaries Limited,"Wainfleet, ON L0R 2J0",8431-Ouvriers agricoles,4
,Wellcore Corporation,"Thornhill, ON L4J 3M8",7271-Charpentiers-menuisiers,2
,Welldone Inc.,"Toronto, ON M9W 6C8",7292-Vitriers,1
,Wells Fargo Bank N.A Canadian Branch,"Toronto, ON M5H 3Y2","13-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,Wescom Solutions Inc.,"Mississauga, ON L4W 0C4",601-Directeurs des ventes corporatives,1
,,"Mississauga, ON L5N 8E9",2174-Programmeurs et développeurs en médias interactifs,1
,West Park Baptist Church,"London, ON N6G 5C9",4217-Autre personnel relié à la religion,1
,West Pointe Greenhouses,"Leamington, ON N8H 3V5",8432-Ouvriers de pépinières et de serres,46
,Westboro Auto Imports Ltd.,"Ottawa, ON K1Z 6W7",621-Directeurs - commerce de détail et de gros,1
,Westland Hogco Inc,"Exeter, ON N0M 1S3","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",7
,Westport Truck Centre Inc.,"Mississauga, ON L5C 1V8","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,Weth Mushrooms Inc,"Goderich, ON N7A 3X8",8611-Manoeuvres à la récolte,5
,Wheel King Transhaul Inc.,"Brampton, ON L6R 0T3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Whitby Urgent Care Inc.,"Whitby, ON L1W 2L1",3112-Omnipraticiens et médecins en médecine familiale,2
,Whitecrest Mushrooms Ltd,"Putnam, ON N0L 2B0",2132-Ingénieurs mécaniciens,1
,Whites Potato Farms Inc,"Vanessa, ON N0E 1V0",8431-Ouvriers agricoles,2
,Whittamore Farms Ltd,"Markham, ON L6B 1A8",8431-Ouvriers agricoles,19
,Wholesome Pickins Ltd,"Delhi, ON N4B 1V3",8431-Ouvriers agricoles,17
,Wide Open Farms Inc,"Windham Centre, ON N0E 2A0",8431-Ouvriers agricoles,3
,Wiens Vineyards,"Niagara-On-The-Lake, ON L0S 1J0",8431-Ouvriers agricoles,42
,,,8611-Manoeuvres à la récolte,1
,Wild Apricot Inc.,"Toronto, ON M5J 2L7",2282-Agents de soutien aux utilisateurs,1
,Wildhagens Ltd,"Campbellville, ON L0P 1B0",8432-Ouvriers de pépinières et de serres,7
,Wilfrid Laurier University,"Waterloo, ON N2L 3C5",4011-Professeurs et chargés de cours au niveau universitaire,2
,Wilfrid Park Inc.,"Toronto, ON M5A 1E8","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",4
,William Horlings & Sons Limited,"Newmarket, ON L3Y 4V9",8431-Ouvriers agricoles,3
,Williams Brothers,"Waterdown, ON L0R 2H2",8431-Ouvriers agricoles,3
,Williams Nurseries Ltd,"Leamington, ON N8H 3V6",8432-Ouvriers de pépinières et de serres,5
,Willow Lake Ventures Inc,"Niagara on the lake, ON L0S 1J0",8431-Ouvriers agricoles,4
,Willowbrook Nurseries Inc,"Fenwick, ON L0S 1C0",8432-Ouvriers de pépinières et de serres,59
,Willowtree Farms Inc,"Port Perry, ON L9L 1B5",8431-Ouvriers agricoles,1
,Willy's Greenhouse Ltd,"Niagara on the lake, ON L0S 1J0",8432-Ouvriers de pépinières et de serres,11
,Wilmot Orchards Inc,"Newcastle, ON L1B 1L9",8431-Ouvriers agricoles,25
,Wind River International Limited,"Kanata, ON K2K 2W5",2147-Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),1
,Windmill Group Corporation,"Milton, ON L9T 2X5",7282-Finisseurs de béton,3
,Windsor Regional Hospital Foundation (Windsor Regional Hospital),"Windsor, ON N8W 1L9",3111-Médecins spécialistes,3
,Windsor-Essex Community Health Centre,"Windsor, ON N8X 1K5",3112-Omnipraticiens et médecins en médecine familiale,1
,Wingporium Ltd.,"Etobicoke, ON M8Z 4P8",1311-Techniciens en comptabilité et teneurs de livres,1
,Winkelmolen Nursery Ltd,"Lynden, ON L0R 1T0",8432-Ouvriers de pépinières et de serres,53
,Winners Merchants International L.P.,"Mississauga, ON L5R 0G1",5222-Cadreurs de films et cadreurs vidéo,2
,Wirecomm Systems (2008) Inc.,"Concord, ON L4K 4Y2",7247-Techniciens en montage et en entretien d'installations de câblodistribution,2
,Wittington Properties Ltd.,"Toronto, ON M4T 2S5",6312-Gouvernants principaux,1
,,,"6742-Autre personnel de soutien en service, n.c.a.",1
,,,"8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,Witzke's Greenhouses Ltd,"Courtice, ON L1E 2H1",8432-Ouvriers de pépinières et de serres,28
,WJ Neufeld Farms Inc,"Niagara on the lake, ON L0S 1J0",8431-Ouvriers agricoles,3
,WJI Farms Inc,"Wheatley, ON N0P 2P0",8432-Ouvriers de pépinières et de serres,8
,Women's College Hospital,"Toronto, ON M5S 1B2",3111-Médecins spécialistes,3
,Wonder Home Fashion Ltd.,"Richmond Hill, ON L4B 3K1",621-Directeurs - commerce de détail et de gros,1
,Wood Lynn Orchards Ltd,"London, ON N6P 1M6",8431-Ouvriers agricoles,8
,Woodbecker Inc.,"Toronto, ON M1L 1A5",7271-Charpentiers-menuisiers,2
,Woodbridge Foam Corporation,"Mississauga, ON L4Z 2G6","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,Woodbury Leaf Inc,"Burford, ON N0E 1A0",8431-Ouvriers agricoles,5
,,,8432-Ouvriers de pépinières et de serres,4
,Woodley Farm & Greenhouses,"Wilsonville, ON N0E 1Z0",8432-Ouvriers de pépinières et de serres,5
,Woodside Greenhouses Inc,"Leamington, ON N8H 3V6",8432-Ouvriers de pépinières et de serres,18
,Woodville Farms Limited,"Woodville, ON K0M 2T0",8431-Ouvriers agricoles,36
,World Access Immigration Services,"Etobicoke, ON M9W 6N5",1241-Adjoints administratifs,1
,World Comm.CT Inc.,"Toronto, ON L3T 0C7",6211-Superviseurs des ventes - commerce de détail,1
,World Society for the Protection of Animals-Canada,"Toronto, ON M4P 2Y3",731-Directeurs des transports,1
,,,2273-Officiers de pont du transport par voies navigables,1
,,,"7384-Autre personnel des métiers et personnel assimilé, n.c.a.",2
,World Wide Carriers Ltd.,"Etobicoke, ON M9W 6P7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",2
,,,1221-Agents d'administration,1
,Worldgaming Network LP,"Toronto, ON M5H 1W7",2174-Programmeurs et développeurs en médias interactifs,1
,Wridgeview Greenhouses Ltd.,"Harrow, ON N0R 1G0",8432-Ouvriers de pépinières et de serres,12
,WTL Investments,"Langton, ON N0E 1G0",8432-Ouvriers de pépinières et de serres,12
