"Number of temporary foreign worker (TFW) positions on positive Labour Market Impact Assessments (LMIAs) by National Occupational Classification - 2011 (NOC), and province/territory",,,,,,,,
Canada,,,,,,,,
NOC Code and Occupational Group,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
2115 - Other professional occupations in physical sciences,0,0,1,0,1,0,2,0
2121 - Biologists and related scientists,8,3,2,3,3,6,3,6
2122 - Forestry professionals,1,0,0,0,0,0,0,0
"2123 - Agricultural representatives, consultants and specialists",3,1,1,0,0,0,0,3
2131 - Civil engineers,10,4,9,10,6,3,11,12
2132 - Mechanical engineers,18,14,7,13,9,11,24,19
2133 - Electrical and electronics engineers,21,20,18,10,11,9,16,47
2134 - Chemical engineers,1,2,0,2,2,2,2,1
2141 - Industrial and manufacturing engineers,4,4,5,7,5,4,7,9
2142 - Metallurgical and materials engineers,1,0,1,2,2,2,7,4
2143 - Mining engineers,3,0,3,0,0,1,0,2
2144 - Geological engineers,2,0,1,1,0,0,1,2
2145 - Petroleum engineers,0,2,0,0,0,0,0,0
2146 - Aerospace engineers,2,3,0,0,3,1,2,10
2147 - Computer engineers (except software engineers and designers),8,12,30,50,45,58,89,94
"2148 - Other professional engineers, n.e.c.",3,0,2,2,4,5,5,4
2151 - Architects,3,0,1,0,3,1,3,2
2152 - Landscape architects,2,0,0,0,1,0,0,0
2153 - Urban and land use planners,1,1,0,0,0,0,0,1
2154 - Land surveyors,1,2,0,0,0,0,2,1
"2161 - Mathematicians, statisticians and actuaries",3,4,4,11,7,8,9,4
2171 - Information systems analysts and consultants,63,84,150,185,152,247,425,394
2172 - Database analysts and data administrators,8,17,33,43,75,70,123,129
2173 - Software engineers and designers,102,115,226,408,432,578,"1,139",578
2174 - Computer programmers and interactive media developers,99,168,247,334,294,472,715,522
2175 - Web designers and developers,30,51,68,100,75,95,156,199
2211 - Chemical technologists and technicians,3,9,2,7,8,9,17,34
2212 - Geological and mineral technologists and technicians,3,1,6,2,0,0,3,5
2221 - Biological technologists and technicians,3,4,2,1,1,0,5,4
2222 - Agricultural and fish products inspectors,0,1,0,0,1,0,0,0
2225 - Landscape and horticulture technicians and specialists,5,7,4,12,8,22,42,69
2231 - Civil engineering technologists and technicians,4,6,1,3,9,2,17,19
2232 - Mechanical engineering technologists and technicians,79,74,49,60,27,17,114,69
2233 - Industrial engineering and manufacturing technologists and technicians,11,50,12,24,17,22,30,34
2234 - Construction estimators,8,4,4,4,7,10,9,16
2241 - Electrical and electronics engineering technologists and technicians,73,55,35,38,26,16,61,81
2242 - Electronic service technicians (household and business equipment),28,44,39,47,34,26,48,46
2243 - Industrial instrument technicians and mechanics,144,91,88,70,44,47,30,51
"2244 - Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",0,1,0,3,3,2,1,4
2251 - Architectural technologists and technicians,5,4,4,17,6,12,21,20
2252 - Industrial designers,8,4,6,3,2,1,3,6
2253 - Drafting technologists and technicians,14,15,8,17,20,10,43,42
2254 - Land survey technologists and technicians,5,4,4,2,8,1,6,8
2255 - Technical occupations in geomatics and meteorology,1,2,6,0,0,0,0,0
2261 - Non-destructive testers and inspection technicians,28,24,21,13,7,9,6,7
2262 - Engineering inspectors and regulatory officers,0,2,5,3,3,1,1,0
2263 - Inspectors in public and environmental health and occupational health and safety,42,107,131,6,6,13,9,11
2264 - Construction inspectors,3,4,15,4,0,1,1,5
"2271 - Air pilots, flight engineers and flying instructors",21,5,29,42,4,17,14,23
2272 - Air traffic controllers and related occupations,2,1,4,0,0,0,0,0
"2273 - Deck officers, water transport",0,4,10,2,2,0,0,5
"2274 - Engineer officers, water transport",0,4,5,2,0,0,0,3
2281 - Computer network technicians,25,22,16,28,34,31,69,96
2282 - User support technicians,38,19,22,19,26,28,36,90
2283 - Information systems testing technicians,14,21,20,39,28,25,48,58
3011 - Nursing co-ordinators and supervisors,0,0,0,1,0,0,0,0
3012 - Registered nurses and registered psychiatric nurses,8,3,0,1,6,3,10,89
3111 - Specialist physicians,48,52,39,41,39,37,55,91
3112 - General practitioners and family physicians,40,29,36,33,50,33,62,103
3113 - Dentists,0,1,3,1,3,1,3,2
3114 - Veterinarians,1,1,4,3,5,11,24,16
3122 - Chiropractors,0,1,0,0,0,0,0,0
3124 - Allied primary health practitioners,0,0,0,0,0,2,1,3
3125 - Other professional occupations in health diagnosing and treating,0,1,0,0,0,1,1,1
3131 - Pharmacists,2,0,0,0,0,0,1,5
3132 - Dietitians and nutritionists,0,0,0,0,1,0,1,2
3141 - Audiologists and speech-language pathologists,0,0,0,1,2,0,1,1
3142 - Physiotherapists,1,0,0,1,1,3,12,13
3144 - Other professional occupations in therapy and assessment,1,0,1,0,0,0,0,1
3211 - Medical laboratory technologists,0,0,0,0,0,1,2,1
3212 - Medical laboratory technicians and pathologists' assistants,0,0,0,0,1,1,1,2
3213 - Animal health technologists and veterinary technicians,2,4,2,1,0,8,23,12
"3214 - Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",0,1,1,1,0,0,0,0
3215 - Medical radiation technologists,11,1,0,0,0,0,2,7
3216 - Medical sonographers,2,0,0,0,1,2,3,2
"3217 - Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",0,0,0,0,1,1,0,0
3219 - Other medical technologists and technicians (except dental health),3,4,4,7,13,6,11,32
3221 - Denturists,0,0,0,0,0,0,0,1
3222 - Dental hygienists and dental therapists,0,0,1,1,0,1,0,0
"3223 - Dental technologists, technicians and laboratory assistants",10,7,6,5,4,5,16,10
3231 - Opticians,0,6,2,10,7,4,3,4
3232 - Practitioners of natural healing,0,4,5,4,4,2,7,3
3233 - Licensed practical nurses,0,1,0,1,10,2,15,32
3234 - Paramedical occupations,0,0,0,0,0,0,0,15
3236 - Massage therapists,0,2,11,10,14,1,6,4
3237 - Other technical occupations in therapy and assessment,3,3,3,5,10,10,15,16
3411 - Dental assistants,0,0,0,1,0,0,5,12
"3413 - Nurse aides, orderlies and patient service associates",1,1,0,4,20,137,481,629
3414 - Other assisting occupations in support of health services,0,1,0,1,1,0,7,27
4011 - University professors and lecturers,152,108,116,122,105,89,144,128
4012 - Post-secondary teaching and research assistants,0,0,0,1,2,3,5,7
4021 - College and other vocational instructors,29,16,14,8,12,10,20,17
4031 - Secondary school teachers,1,0,0,1,1,0,0,2
4032 - Elementary school and kindergarten teachers,1,0,0,0,0,3,2,3
4033 - Educational counsellors,1,3,1,3,1,1,3,2
4111 - Judges,0,0,1,1,0,1,0,0
4112 - Lawyers and Quebec notaries,1,1,1,4,1,1,1,1
4151 - Psychologists,2,1,0,3,4,1,7,2
4152 - Social workers,0,0,0,0,0,0,0,1
"4153 - Family, marriage and other related counsellors",1,1,0,0,2,1,0,1
4154 - Professional occupations in religion,13,10,3,1,1,1,0,5
"4161 - Natural and applied science policy researchers, consultants and program officers",4,4,0,0,0,0,1,0
4162 - Economists and economic policy researchers and analysts,7,9,6,7,8,5,7,9
4163 - Business development officers and marketing researchers and consultants,24,32,9,20,24,33,65,92
"4164 - Social policy researchers, consultants and program officers",1,0,1,1,1,0,0,1
"4165 - Health policy researchers, consultants and program officers",5,2,1,2,3,4,5,6
"4166 - Education policy researchers, consultants and program officers",3,0,1,0,0,4,9,9
"4167 - Recreation, sports and fitness policy researchers, consultants and program officers",0,0,0,0,0,0,2,2
"4169 - Other professional occupations in social science, n.e.c.",0,1,0,0,1,1,3,1
4211 - Paralegal and related occupations,3,0,3,5,2,2,1,2
4212 - Social and community service workers,2,1,1,1,3,0,9,13
4214 - Early childhood educators and assistants,8,15,11,26,60,28,73,210
4215 - Instructors of persons with disabilities,3,0,0,2,0,0,1,2
4216 - Other instructors,1,3,4,2,4,0,3,11
4217 - Other religious occupations,11,2,1,2,4,0,4,4
4411 - Home child care providers,"2,343","2,527","3,019","2,265","1,159","1,671","1,133","1,139"
"4412 - Home support workers, housekeepers and related occupations",713,831,"1,065",832,458,653,546,763
4413 - Elementary and secondary school teacher assistants,0,0,0,0,0,0,0,7
4421 - Sheriffs and bailiffs,0,0,0,0,0,0,2,0
5111 - Librarians,0,0,0,0,0,0,0,1
5112 - Conservators and curators,3,3,1,3,2,1,3,0
5121 - Authors and writers,3,2,3,3,3,0,1,1
5122 - Editors,5,4,1,2,1,0,3,1
5123 - Journalists,2,2,1,1,0,1,2,0
"5125 - Translators, terminologists and interpreters",26,10,28,20,0,0,3,3
"5131 - Producers, directors, choreographers and related occupations",231,214,195,174,49,81,137,120
"5132 - Conductors, composers and arrangers",10,0,0,1,0,0,2,1
5133 - Musicians and singers,29,20,13,10,0,4,6,5
5134 - Dancers,12,18,10,7,2,3,4,1
5135 - Actors and comedians,162,42,29,37,3,5,32,19
"5136 - Painters, sculptors and other visual artists",9,3,2,6,5,2,14,5
5212 - Technical occupations related to museums and art galleries,0,0,0,3,0,2,0,2
5221 - Photographers,19,9,10,16,7,4,7,5
5222 - Film and video camera operators,30,17,5,4,1,4,4,5
5223 - Graphic arts technicians,7,9,12,8,12,2,12,17
5224 - Broadcast technicians,1,0,1,1,2,1,1,0
5225 - Audio and video recording technicians,24,16,12,17,7,8,12,9
"5226 - Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",41,17,16,7,1,6,11,6
"5227 - Support occupations in motion pictures, broadcasting, photography and the performing arts",37,21,17,18,8,11,6,6
5231 - Announcers and other broadcasters,8,6,5,12,7,5,6,2
"5232 - Other performers, n.e.c.",150,128,100,60,6,2,24,13
5241 - Graphic designers and illustrators,115,96,65,90,84,86,148,122
5242 - Interior designers and interior decorators,12,16,9,13,19,7,13,21
"5243 - Theatre, fashion, exhibit and other creative designers",10,7,7,6,3,6,8,6
5244 - Artisans and craftspersons,9,11,14,9,7,5,23,14
"5245 - Patternmakers - textile, leather and fur products",0,0,0,2,0,0,1,2
5251 - Athletes,1,1,1,0,2,1,1,10
5252 - Coaches,15,19,12,19,13,14,34,29
"5254 - Program leaders and instructors in recreation, sport and fitness",12,16,12,16,22,13,32,22
6211 - Retail sales supervisors,53,97,115,253,398,255,553,"1,015"
6221 - Technical sales specialists - wholesale trade,43,29,23,36,39,40,65,81
6222 - Retail and wholesale buyers,42,31,22,31,41,18,33,27
6231 - Insurance agents and brokers,1,6,1,1,8,3,5,2
6232 - Real estate agents and salespersons,0,0,0,0,0,1,0,0
6235 - Financial sales representatives,5,1,4,3,2,1,3,8
6311 - Food service supervisors,137,335,346,585,"1,204",856,"2,125","3,893"
6312 - Executive housekeepers,3,1,1,2,5,3,25,21
"6313 - Accommodation, travel, tourism and related services supervisors",11,26,21,32,24,16,46,60
6314 - Customer and information services supervisors,3,3,8,19,25,9,28,47
6315 - Cleaning supervisors,4,11,24,21,25,35,145,147
6316 - Other services supervisors,9,9,9,16,25,15,34,98
6321 - Chefs,148,179,169,194,170,142,320,302
6322 - Cooks,311,396,569,984,956,"1,089","2,708","3,260"
"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",39,112,118,83,208,381,405,452
6332 - Bakers,28,37,30,61,106,78,239,360
6341 - Hairstylists and barbers,12,28,52,56,51,26,100,96
"6342 - Tailors, dressmakers, furriers and milliners",7,7,5,8,12,6,8,10
6343 - Shoe repairers and shoemakers,1,0,0,0,0,0,1,2
"6344 - Jewellers, jewellery and watch repairers and related occupations",6,3,8,6,5,2,17,13
6345 - Upholsterers,16,15,8,10,3,14,23,12
6346 - Funeral directors and embalmers,0,0,0,0,0,0,1,0
6411 - Sales and account representatives - wholesale trade (non-technical),4,3,5,5,0,1,2,8
6421 - Retail salespersons,0,0,1,1,3,10,49,69
6511 - Maîtres d'hôtel and hosts/hostesses,0,0,0,0,0,1,1,1
6512 - Bartenders,0,0,0,0,0,0,4,11
6513 - Food and beverage servers,0,0,4,0,0,0,25,56
6521 - Travel counsellors,0,0,1,0,0,0,0,0
6522 - Pursers and flight attendants,0,0,1,0,0,0,0,0
6525 - Hotel front desk clerks,0,0,0,0,1,0,24,34
6532 - Outdoor sport and recreational guides,1,1,1,1,1,1,1,1
6541 - Security guards and related security service occupations,1,0,0,1,2,0,0,27
6551 - Customer services representatives - financial institutions,0,0,0,0,0,1,0,1
6552 - Other customer and information services representatives,1,1,0,0,3,2,7,8
"6561 - Image, social and other personal consultants",0,0,3,3,0,0,0,0
"6562 - Estheticians, electrologists and related occupations",2,3,6,21,14,17,100,520
6563 - Pet groomers and animal care workers,8,13,12,19,14,13,25,19
6611 - Cashiers,0,0,0,0,0,0,3,67
6621 - Service station attendants,0,0,0,0,0,0,10,1
"6622 - Store shelf stockers, clerks and order fillers",0,0,0,1,0,0,27,107
6623 - Other sales related occupations,0,0,0,0,0,0,0,39
"6711 - Food counter attendants, kitchen helpers and related support occupations",0,0,3,1,0,5,533,"1,035"
"6721 - Support occupations in accommodation, travel and facilities set-up services",0,0,2,0,0,0,1,1
"6722 - Operators and attendants in amusement, recreation and sport",10,8,26,82,42,0,78,197
6731 - Light duty cleaners,0,0,45,67,21,205,565,629
6732 - Specialized cleaners,0,13,14,16,30,26,27,62
"6733 - Janitors, caretakers and building superintendents",0,0,0,1,3,14,50,76
"6741 - Dry cleaning, laundry and related occupations",0,0,0,0,0,0,45,13
"6742 - Other service support occupations, n.e.c.",1,0,2,0,0,0,1,3
"7201 - Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",7,6,6,3,4,3,8,15
"7202 - Contractors and supervisors, electrical trades and telecommunications occupations",6,1,1,5,5,5,3,2
"7204 - Contractors and supervisors, carpentry trades",11,8,4,7,6,7,13,35
"7205 - Contractors and supervisors, other construction trades, installers, repairers and servicers",35,50,26,48,26,27,45,70
7231 - Machinists and machining and tooling inspectors,46,71,89,69,62,135,159,214
7232 - Tool and die makers,11,14,8,18,2,17,33,30
7233 - Sheet metal workers,8,8,11,7,9,2,17,15
7235 - Structural metal and platework fabricators and fitters,5,5,7,10,14,28,74,64
7236 - Ironworkers,7,1,2,3,1,2,40,15
7237 - Welders and related machine operators,53,49,71,67,90,170,322,388
7241 - Electricians (except industrial and power system),17,11,15,17,10,15,26,17
7242 - Industrial electricians,10,1,39,5,10,58,23,23
7244 - Electrical power line and cable workers,1,1,3,1,2,1,2,85
7245 - Telecommunications line and cable workers,3,10,1,17,18,21,104,26
7246 - Telecommunications installation and repair workers,15,14,3,4,16,20,20,33
7247 - Cable television service and maintenance technicians,6,2,1,1,0,3,1,1
7251 - Plumbers,12,5,1,11,11,12,10,38
"7252 - Steamfitters, pipefitters and sprinkler system installers",15,3,1,1,4,8,2,6
7253 - Gas fitters,0,0,4,0,2,0,5,4
7271 - Carpenters,142,180,184,300,265,344,768,605
7272 - Cabinetmakers,11,26,27,60,63,62,178,183
7281 - Bricklayers,40,79,129,119,87,124,201,171
7282 - Concrete finishers,25,51,54,87,99,86,186,178
7283 - Tilesetters,16,25,39,52,36,30,75,93
"7284 - Plasterers, drywall installers and finishers and lathers",25,22,16,30,40,56,122,162
7291 - Roofers and shinglers,86,126,97,214,160,163,268,193
7292 - Glaziers,4,3,4,14,8,23,43,26
7293 - Insulators,13,4,1,2,11,10,29,27
7294 - Painters and decorators (except interior decorators),3,18,11,19,46,56,168,239
7295 - Floor covering installers,6,8,17,13,18,31,74,97
"7301 - Contractors and supervisors, mechanic trades",3,7,7,14,8,8,19,25
"7302 - Contractors and supervisors, heavy equipment operator crews",4,15,4,14,12,10,21,14
"7303 - Supervisors, printing and related occupations",5,1,2,1,2,1,3,3
"7304 - Supervisors, railway transport operations",1,0,0,0,0,0,0,0
"7305 - Supervisors, motor transport and other ground transit operators",4,3,4,4,14,4,11,35
7311 - Construction millwrights and industrial mechanics,31,25,58,41,81,79,110,109
7312 - Heavy-duty equipment mechanics,12,22,17,37,49,67,172,269
7313 - Refrigeration and air conditioning mechanics,3,1,1,1,4,1,13,11
7315 - Aircraft mechanics and aircraft inspectors,5,53,26,26,18,2,4,3
7316 - Machine fitters,6,1,1,6,2,3,16,6
7318 - Elevator constructors and mechanics,0,0,0,1,0,0,0,0
"7321 - Automotive service technicians, truck and bus mechanics and mechanical repairers",38,36,40,59,79,57,260,405
7322 - Motor vehicle body repairers,10,16,27,49,49,27,99,167
7331 - Oil and solid fuel heating mechanics,1,1,1,0,1,0,0,0
7332 - Appliance servicers and repairers,4,4,5,3,13,16,38,49
7333 - Electrical mechanics,7,8,15,30,24,16,96,47
"7334 - Motorcycle, all-terrain vehicle and other related mechanics",1,0,1,1,3,7,8,4
7335 - Other small engine and small equipment repairers,0,1,0,3,3,5,15,24
7371 - Crane operators,4,2,3,4,3,5,3,11
"7372 - Drillers and blasters - surface mining, quarrying and construction",2,5,6,16,1,1,10,18
7373 - Water well drillers,0,0,2,0,0,1,0,0
7381 - Printing press operators,6,4,1,5,8,1,11,9
"7384 - Other trades and related occupations, n.e.c.",13,30,11,9,15,15,66,43
7441 - Residential and commercial installers and servicers,12,4,28,65,57,28,119,154
7442 - Waterworks and gas maintenance workers,0,0,0,0,0,0,0,1
7444 - Pest controllers and fumigators,0,0,0,0,0,0,1,1
7445 - Other repairers and servicers,4,9,6,11,1,3,8,12
7452 - Material handlers,0,0,0,6,1,5,172,124
7511 - Transport truck drivers,7,1,2,295,831,703,977,"1,533"
"7512 - Bus drivers, subway operators and other transit operators",3,2,1,0,0,1,10,26
7513 - Taxi and limousine drivers and chauffeurs,0,1,0,0,0,0,2,0
7514 - Delivery and courier service drivers,0,0,0,0,1,4,12,14
7521 - Heavy equipment operators (except crane),0,5,3,13,27,8,65,87
7522 - Public works maintenance equipment operators and related workers,0,0,0,7,0,2,10,5
7531 - Railway yard and track maintenance workers,0,0,0,3,0,0,0,1
7532 - Water transport deck and engine room crew,0,6,28,4,0,0,0,7
7533 - Boat and cable ferry operators and related occupations,0,0,0,0,0,1,0,0
7534 - Air transport ramp attendants,0,0,0,0,0,0,4,0
7535 - Other automotive mechanical installers and servicers,0,1,0,6,5,17,40,83
7611 - Construction trades helpers and labourers,0,28,9,36,83,100,806,"1,098"
7612 - Other trades helpers and labourers,0,0,3,1,7,7,27,150
7621 - Public works and maintenance labourers,0,0,0,0,0,0,20,9
7622 - Railway and motor transport labourers,0,0,0,1,11,1,0,5
"8211 - Supervisors, logging and forestry",0,0,0,0,0,0,0,2
8231 - Underground production and development miners,0,8,14,0,7,0,2,2
"8232 - Oil and gas well drillers, servicers, testers and related workers",3,1,0,0,0,0,0,0
8241 - Logging machinery operators,0,0,0,4,1,1,7,6
"8252 - Agricultural service contractors, farm supervisors and specialized livestock workers",96,156,239,270,371,410,561,449
"8255 - Contractors and supervisors, landscaping, grounds maintenance and horticulture services",4,6,7,13,29,18,19,23
8421 - Chain saw and skidder operators,0,0,0,0,0,2,0,0
8431 - General farm workers,"12,548","18,282","17,760","16,430","15,766","24,985","27,114","30,986"
8432 - Nursery and greenhouse workers,"9,114","10,544","10,771","10,883","11,192","4,612","5,607","6,352"
8611 - Harvesting labourers,493,965,982,"1,076","1,163","1,279","1,233",756
8612 - Landscaping and grounds maintenance labourers,1,0,4,36,29,70,216,195
"9211 - Supervisors, mineral and metal processing",1,3,3,3,8,4,6,1
"9212 - Supervisors, petroleum, gas and chemical processing and utilities",2,0,0,3,0,0,1,1
"9213 - Supervisors, food, beverage and associated products processing",7,13,10,9,16,12,33,18
"9214 - Supervisors, plastic and rubber products manufacturing",3,1,5,5,8,5,13,14
"9215 - Supervisors, forest products processing",0,0,0,1,1,0,0,3
"9217 - Supervisors, textile, fabric, fur and leather products processing and manufacturing",2,3,6,15,12,12,14,16
"9221 - Supervisors, motor vehicle assembling",0,0,0,1,1,1,0,2
"9222 - Supervisors, electronics manufacturing",1,0,0,0,1,0,3,4
"9223 - Supervisors, electrical products manufacturing",1,1,0,0,1,1,4,3
"9224 - Supervisors, furniture and fixtures manufacturing",2,9,3,2,1,2,5,6
"9226 - Supervisors, other mechanical and metal products manufacturing",0,2,0,4,7,2,5,3
"9227 - Supervisors, other products manufacturing and assembly",2,1,5,5,4,3,3,7
"9231 - Central control and process operators, mineral and metal processing",0,1,0,0,0,0,5,4
"9232 - Petroleum, gas and chemical process operators",0,1,0,0,0,1,0,0
9241 - Power engineers and power systems operators,0,1,0,0,2,1,0,1
9243 - Water and waste treatment plant operators,2,0,0,0,0,0,0,0
"9411 - Machine operators, mineral and metal processing",0,0,0,0,0,0,3,3
9412 - Foundry workers,0,0,0,2,2,0,6,4
9413 - Glass forming and finishing machine operators and glass cutters,0,1,0,0,0,0,5,1
"9414 - Concrete, clay and stone forming operators",0,1,3,0,18,3,47,19
"9415 - Inspectors and testers, mineral and metal processing",0,0,0,1,0,0,0,0
9416 - Metalworking and forging machine operators,2,4,0,0,0,12,57,33
9417 - Machining tool operators,0,4,0,0,4,2,11,36
9418 - Other metal products machine operators,0,1,0,0,0,0,5,9
9421 - Chemical plant machine operators,0,0,4,1,0,3,3,2
9422 - Plastics processing machine operators,0,1,0,6,2,2,48,87
9423 - Rubber processing machine operators and related workers,0,0,0,4,1,3,8,27
9431 - Sawmill machine operators,0,0,0,0,0,0,3,2
9433 - Papermaking and finishing machine operators,0,0,0,0,0,0,1,0
9435 - Paper converting machine operators,0,0,0,0,0,0,7,6
9437 - Woodworking machine operators,1,1,0,0,2,5,7,13
"9441 - Textile fibre and yarn, hide and pelt processing machine operators and workers",0,0,0,0,1,0,1,6
"9442 - Weavers, knitters and other fabric making occupations",0,0,0,3,0,0,6,0
"9445 - Fabric, fur and leather cutters",0,0,0,0,1,0,0,1
9446 - Industrial sewing machine operators,0,0,1,1,3,8,24,45
"9447 - Inspectors and graders, textile, fabric, fur and leather products manufacturing",0,0,0,0,0,0,1,10
"9461 - Process control and machine operators, food, beverage and associated products processing",1,0,7,3,2,17,133,104
"9462 - Industrial butchers and meat cutters, poultry preparers and related workers",0,40,74,33,59,127,222,156
9463 - Fish and seafood plant workers,0,0,0,0,0,0,0,3
"9465 - Testers and graders, food, beverage and associated products processing",0,0,0,0,0,0,0,4
9471 - Plateless printing equipment operators,0,0,0,0,0,1,0,3
"9472 - Camera, platemaking and other prepress occupations",0,0,0,0,0,0,0,1
9473 - Binding and finishing machine operators,1,0,0,1,0,0,3,8
9521 - Aircraft assemblers and aircraft assembly inspectors,0,12,0,0,0,0,0,0
"9522 - Motor vehicle assemblers, inspectors and testers",0,0,0,0,0,0,1,0
"9523 - Electronics assemblers, fabricators, inspectors and testers",0,0,0,1,0,0,2,6
"9524 - Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",0,0,0,0,0,0,1,5
"9525 - Assemblers, fabricators and inspectors, industrial electrical motors and transformers",0,0,0,1,1,0,0,5
9526 - Mechanical assemblers and inspectors,0,0,0,4,0,5,4,12
"9527 - Machine operators and inspectors, electrical apparatus manufacturing",0,0,0,0,0,0,6,0
9531 - Boat assemblers and inspectors,0,0,0,0,0,0,0,2
9532 - Furniture and fixture assemblers and inspectors,0,0,0,0,0,2,3,23
9533 - Other wood products assemblers and inspectors,0,0,7,0,8,0,24,56
9534 - Furniture finishers and refinishers,0,0,4,0,0,0,0,5
"9535 - Plastic products assemblers, finishers and inspectors",0,2,2,1,0,1,35,2
"9536 - Industrial painters, coaters and metal finishing process operators",1,1,4,1,0,1,8,26
"9537 - Other products assemblers, finishers and inspectors",0,0,0,100,1,1,12,43
9611 - Labourers in mineral and metal processing,0,0,0,0,1,0,0,2
9612 - Labourers in metal fabrication,0,0,0,1,1,8,34,39
9613 - Labourers in chemical products processing and utilities,0,0,0,0,0,0,0,2
"9614 - Labourers in wood, pulp and paper processing",0,0,0,0,6,14,34,49
9615 - Labourers in rubber and plastic products manufacturing,0,0,0,0,0,0,7,7
9616 - Labourers in textile processing,0,0,0,0,0,0,0,9
"9617 - Labourers in food, beverage and associated products processing",1,4,725,586,681,692,"1,215","1,052"
9618 - Labourers in fish and seafood processing,0,0,0,0,0,0,8,8
"9619 - Other labourers in processing, manufacturing and utilities",0,0,31,16,26,30,92,150
Ontario - Total,"30,426","39,114","40,907","41,426","41,496","45,196","62,020","74,625"
Manitoba,,,,,,,,
NOC Code and Occupational Group,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
"0013 - Senior managers - financial, communications and other business services",0,0,0,0,0,3,1,1
"0014 - Senior managers - health, education, social and community services and membership organizations",0,0,0,0,0,1,1,2
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",0,1,1,1,1,2,3,2
"0016 - Senior managers - construction, transportation, production and utilities",1,0,0,4,1,0,0,4
0111 - Financial managers,1,1,0,0,1,0,0,0
0112 - Human resources managers,0,0,2,0,1,0,0,0
0113 - Purchasing managers,0,0,0,0,0,0,1,0
"0124 - Advertising, marketing and public relations managers",1,0,1,0,2,1,0,0
0125 - Other business services managers,0,1,0,1,0,3,2,1
0211 - Engineering managers,0,0,0,0,1,0,0,0
0212 - Architecture and science managers,0,1,0,0,0,1,0,0
0213 - Computer and information systems managers,0,1,4,3,2,1,5,2
0311 - Managers in health care,0,1,0,0,0,0,0,0
0421 - Administrators - post-secondary education and vocational training,1,0,0,1,1,1,0,0
0433 - Commissioned officers of the Canadian Forces,0,0,0,1,0,0,0,0
0601 - Corporate sales managers,1,0,1,0,1,1,0,1
0621 - Retail and wholesale trade managers,1,0,2,6,7,4,10,6
0631 - Restaurant and food service managers,1,0,6,7,4,3,11,26
0632 - Accommodation service managers,0,2,2,3,0,1,5,4
"0651 - Managers in customer and personal services, n.e.c.",0,1,0,4,1,1,1,1
0711 - Construction managers,1,1,0,2,0,2,1,1
0712 - Home building and renovation managers,1,0,0,0,0,0,0,0
0714 - Facility operation and maintenance managers,0,0,0,1,0,2,0,0
0731 - Managers in transportation,0,1,0,2,0,0,1,0
0811 - Managers in natural resources production and fishing,0,1,0,0,0,0,0,0
0821 - Managers in agriculture,7,1,1,1,1,1,2,6
0822 - Managers in horticulture,0,0,0,0,0,0,1,2
0911 - Manufacturing managers,0,0,0,0,0,0,1,1
1111 - Financial auditors and accountants,0,0,0,0,0,0,1,1
1112 - Financial and investment analysts,0,0,0,1,0,0,0,1
1121 - Human resources professionals,0,0,0,0,0,0,0,1
"1123 - Professional occupations in advertising, marketing and public relations",1,0,1,0,2,1,10,11
"1211 - Supervisors, general office and administrative support workers",0,0,0,0,0,0,1,3
"1212 - Supervisors, finance and insurance office workers",0,0,0,0,0,0,0,2
"1215 - Supervisors, supply chain, tracking and scheduling co-ordination occupations",8,5,2,5,4,6,17,20
1221 - Administrative officers,0,2,4,10,11,14,49,78
1222 - Executive assistants,0,0,0,0,0,1,0,1
1223 - Human resources and recruitment officers,0,0,0,0,0,1,0,2
1224 - Property administrators,0,0,0,0,0,0,1,2
1225 - Purchasing agents and officers,0,0,0,0,0,0,0,1
1226 - Conference and event planners,0,0,1,1,0,0,0,0
1241 - Administrative assistants,0,0,2,2,5,10,55,114
1242 - Legal administrative assistants,0,0,0,0,0,1,1,0
1243 - Medical administrative assistants,0,0,0,0,0,1,1,2
1311 - Accounting technicians and bookkeepers,1,2,4,5,5,12,38,82
1411 - General office support workers,0,0,0,0,0,0,3,6
1414 - Receptionists,0,0,0,0,1,0,2,5
1415 - Personnel clerks,0,0,0,0,0,0,0,1
1431 - Accounting and related clerks,0,0,0,0,0,0,1,1
"1513 - Couriers, messengers and door-to-door distributors",0,0,0,0,0,0,0,2
1521 - Shippers and receivers,0,0,0,0,0,0,0,1
1522 - Storekeepers and partspersons,0,0,0,0,0,0,0,4
1523 - Production logistics co-ordinators,0,0,0,0,0,0,0,1
1524 - Purchasing and inventory control workers,0,0,0,0,0,0,1,0
1525 - Dispatchers,0,0,2,7,0,1,14,35
2111 - Physicists and astronomers,0,0,1,0,0,0,0,0
2112 - Chemists,0,0,0,0,0,1,0,0
2121 - Biologists and related scientists,0,0,0,0,0,2,0,0
2132 - Mechanical engineers,1,0,1,0,0,0,1,1
